# IVD_Stats
#
# History:
#
# 201x-xx-xx Combined registration of the PanCJKV collection and of
#            sequences in that collection (EXPERIMENTAL/UNREGISTERED).
#
# 2014-05-16 Combined registration of the Moji_Joho collection and of
#            sequences in that collection.
#
# 2012-03-02 Registration of additional sequences in the Adobe-Japan1
#            collection. Registration of additional sequences in the
#            Hanyo-Denshi collection.
#
# 2010-11-14 Combined registration of the Hanyo-Denshi collection and of
#            sequences in that collection.
#
# 2007-12-14 Combined registration of the Adobe-Japan1 collection and of
#            sequences in that collection.
#
# IVS, Base Character & Variation Selector Usage Statistics
#
# The first row reports the total number of unique IVSes; the second row
# reports the total number of unique base characters; the rows that begin
# with 'VS' followed by an integer report the total number of unique IVSes
# using a particular variation selector; and subsequent rows that simply
# begin with an integer value report the number of base characters which
# include that particular number of IVSes.
#
# 1st Column: Identifies the type of information; value can be 'IVS',
#             'BC' (base character), a short name for a VS in the form
#             'VSnn' or 'VSnnn', or an integer value
# 2nd Column: Sum total for each column statistics
# 3rd Column: Data for the Adobe-Japan1 collection
# 4th Column: Data for the Hanyo-Denshi collection
# 5th Column: Data for the Moji_Joho collection
# 6th Column: Data for the PanCJKV collection
#
# Additional columns will be defined as new collections are added.
#
# Duplicate sequence identifiers and shared IVSes are reported in comments
# at the end of the file.
#
# This file is part of the Unicode Ideographic Variation Database (IVD).
# For more details on the IVD, see UTS #37:
# http://www.unicode.org/reports/tr37/
#
# Copyright 2006-2016 Unicode, Inc.
# For terms of use, see: http://www.unicode.org/terms_of_use.html
#
#       TOTAL    Adobe-Japan1   Hanyo-Denshi   Moji_Joho   PanCJKV
# IP81A7 (Hanyo-Denshi: <6723,E0100>, <81A7,E0100>)
# KS162120 (Hanyo-Denshi: <6723,E0101>, <81A7,E0101>)
#
# Shared IVSes:
# 3404 E0100: Hanyo-Denshi; IA0103 & Moji_Joho; MJ000008
# 3404 E0101: Hanyo-Denshi; KS152700 & Moji_Joho; MJ000007
# 342A E0101: Hanyo-Denshi; JTC0B3 & Moji_Joho; MJ000023
# 342C E0101: Hanyo-Denshi; IA0107 & Moji_Joho; MJ000025
# 342C E0102: Hanyo-Denshi; KS098140 & Moji_Joho; MJ057397
# 3436 E0100: Hanyo-Denshi; IA0112 & Moji_Joho; MJ000036
# 3436 E0101: Hanyo-Denshi; JTAD47 & Moji_Joho; MJ000037
# 3441 E0100: Hanyo-Denshi; IA0114 & Moji_Joho; MJ000045
# 3441 E0101: Hanyo-Denshi; JT3441 & Moji_Joho; MJ000046
# 3464 E0100: Hanyo-Denshi; IA0126 & Moji_Joho; MJ000074
# 3464 E0101: Hanyo-Denshi; KS009720 & Moji_Joho; MJ000073
# 3479 E0100: Hanyo-Denshi; IA0128 & Moji_Joho; MJ000089
# 3479 E0101: Hanyo-Denshi; JTAD8C & Moji_Joho; MJ013511
# 3479 E0102: Hanyo-Denshi; KS158120 & Moji_Joho; MJ057674
# 348A E0100: Hanyo-Denshi; IA0968 & Moji_Joho; MJ000106
# 348A E0101: Hanyo-Denshi; KS014050 & Moji_Joho; MJ000105
# 34A7 E0100: Hanyo-Denshi; IA0980 & Moji_Joho; MJ000129
# 34A7 E0101: Hanyo-Denshi; KS015310 & Moji_Joho; MJ000130
